US_Fed_Rate,European_Central_Bank_Rate,China_Central_Bank_Rate,crypto_Solana,crypto_Bitcoin,crypto_Cardano,crypto_XRP,crypto_Ethereum,crypto_Dogecoin,stock_BABA,stock_MSTR,stock_COIN,stock_TSLA,stock_PDD,stock_PLTR,stock_BIDU,stock_JD,US_Fed_Rate_change,European_Central_Bank_Rate_change,China_Central_Bank_Rate_change,crypto_Solana_change,crypto_Bitcoin_change,crypto_Cardano_change,crypto_XRP_change,crypto_Ethereum_change,crypto_Dogecoin_change,stock_BABA_change,stock_MSTR_change,stock_COIN_change,stock_TSLA_change,stock_PDD_change,stock_PLTR_change,stock_BIDU_change,stock_JD_change
0.125,0.75,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.75,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.75,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.75,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.75,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.75,5.3,0.0,140.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.75,5.3,0.0,119.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.939999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.5,5.3,0.0,108.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,-11.490000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.5,5.3,0.0,90.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.5,5.3,0.0,113.58,0.0,0.01,0.0,0.0,0.0,12.259142875671388,0.0,10.936793690636044,0.0,0.0,170.2671428862072,0.0,0.0,0.0,0.0,0.0,23.230000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.5,5.3,0.0,130.45,0.0,0.01,0.0,0.0,0.0,12.799210598594264,0.0,13.734877184817666,0.0,0.0,166.7947355571546,0.0,0.0,0.0,0.0,0.0,16.86999999999999,0.0,0.0,0.0,0.0,0.0,0.5400677229228759,0.0,2.798083494181622,0.0,0.0,-3.4724073290526007,0.0
0.125,0.5,5.3,0.0,156.86,0.0,0.01,0.0,0.0,0.0,12.435380981082009,0.0,15.543111029125397,0.0,0.0,164.71142796107702,0.0,0.0,0.0,0.0,0.0,26.410000000000025,0.0,0.0,0.0,0.0,0.0,-0.3638296175122555,0.0,1.8082338443077308,0.0,0.0,-2.0833075960775886,0.0
0.125,0.5,5.3,0.0,533.11,0.0,0.01,0.0,0.0,0.0,11.044428598313104,0.0,13.885841369628906,0.0,0.0,155.5528564453125,0.0,0.0,0.0,0.0,0.0,376.25,0.0,0.0,0.0,0.0,0.0,-1.390952382768905,0.0,-1.6572696594964906,0.0,0.0,-9.158571515764521,0.0
0.125,0.5,5.3,0.0,802.58,0.0,0.03,0.0,51.181,0.0,13.02638103848412,0.0,13.311619168236142,0.0,0.0,159.65857296898253,21.664637565612793,0.0,0.0,0.0,0.0,269.47,0.0,0.019999999999999997,0.0,0.0,0.0,1.9819524401710158,0.0,-0.5742222013927645,0.0,0.0,4.105716523670026,0.0
0.125,0.25,5.3,0.0,842.83,0.0,0.02,0.0,81.8549,0.0,14.210381008329843,0.0,14.643904731387185,0.0,0.0,175.7461903889974,25.10428946358817,0.0,-0.25,0.0,0.0,40.25,0.0,-0.009999999999999998,0.0,30.673900000000003,0.0,1.1839999698457238,0.0,1.3322855631510429,0.0,0.0,16.08761742001488,3.439651897975377
0.125,0.25,5.3,0.0,663.85,0.0,0.02,0.0,132.0929,0.0,14.0928635597229,0.0,14.883060672066428,0.0,0.0,197.7731829556552,26.426852226257324,0.0,0.0,0.0,0.0,-178.98000000000002,0.0,0.0,0.0,50.237999999999985,0.0,-0.11751744860694302,0.0,0.23915594067924317,0.0,0.0,22.026992566657782,1.322562762669154
0.125,0.25,5.3,0.0,594.03,0.0,0.01,0.0,80.2507,0.0,13.917238053821382,0.0,17.039174397786457,0.0,0.0,216.4723823184059,27.853866395496187,0.0,0.0,0.0,0.0,-69.82000000000005,0.0,-0.01,0.0,-51.84219999999999,0.0,-0.17562550590151815,0.0,2.1561137257200294,0.0,0.0,18.699199362750704,1.4270141692388627
0.125,0.25,5.3,0.0,461.08,0.0,0.01,0.0,50.9054,86.73611736297607,13.705999964759464,0.0,17.6607300894601,0.0,0.0,220.6738092331659,26.473094758533296,0.0,0.0,0.0,0.0,-132.95,0.0,0.0,0.0,-29.345299999999995,0.0,-0.21123808906191854,0.0,0.6215556916736418,0.0,0.0,4.20142691476002,-1.3807716369628906
0.125,0.25,5.3,0.0,483.79,0.0,0.01,0.0,44.4591,87.62051093060037,14.668391227722168,0.0,15.95878261068593,0.0,0.0,216.7152172586192,23.277952194213867,0.0,0.0,0.0,0.0,22.710000000000036,0.0,0.0,0.0,-6.446300000000001,0.8843935676243007,0.9623912629627043,0.0,-1.7019474787741693,0.0,0.0,-3.958591974546721,-3.195142564319429
0.125,0.25,5.1,0.0,615.5,0.0,0.0,0.0,35.0453,108.29730144299958,16.427315762168483,0.0,16.438877256293047,0.0,0.0,243.24052509508635,23.342594648662367,0.0,0.0,-0.20000000000000018,0.0,131.70999999999998,0.0,-0.01,0.0,-9.413800000000002,20.676790512399208,1.7589245344463151,0.0,0.48009464560711734,0.0,0.0,26.525307836467164,0.06464245444849936
