Solana,Bitcoin,Cardano,XRP,Ethereum,Dogecoin
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,140.56,0.0,0.0,0.0,0.0
0.0,119.62,0.0,0.0,0.0,0.0
0.0,108.13,0.0,0.0,0.0,0.0
0.0,90.35,0.0,0.0,0.0,0.0
0.0,113.58,0.0,0.01,0.0,0.0
0.0,130.45,0.0,0.01,0.0,0.0
0.0,156.86,0.0,0.01,0.0,0.0
0.0,533.11,0.0,0.01,0.0,0.0
0.0,802.58,0.0,0.03,0.0,51.181
0.0,842.83,0.0,0.02,0.0,81.8549
0.0,663.85,0.0,0.02,0.0,132.0929
0.0,594.03,0.0,0.01,0.0,80.2507
0.0,461.08,0.0,0.01,0.0,50.9054
0.0,483.79,0.0,0.01,0.0,44.4591
0.0,615.5,0.0,0.0,0.0,35.0453
0.0,618.75,0.0,0.0,0.0,23.7045
0.0,537.43,0.0,0.01,0.0,14.9997
0.0,446.72,0.0,0.0,0.0,26.6112
0.0,364.77,0.0,0.0,0.0,27.3951
0.0,366.17,0.0,0.01,0.0,22.8304
0.0,342.1,0.0,0.02,0.0,20.3314
0.0,250.62,0.0,0.02,0.0,15.5662
0.0,233.74,0.0,0.01,0.0,14.3709
0.0,269.08,0.0,0.01,0.0,13.82
0.0,235.47,0.0,0.01,0.0,11.1959
0.0,237.17,0.0,0.01,0.0,12.1677
0.0,237.54,0.0,0.01,0.0,17.9527
0.0,279.33,0.0,0.01,0.0,18.8009
0.0,251.82,0.0,0.01,1.29,15.0507
0.0,233.85,0.0,0.01,1.0,12.6257
0.0,263.85,0.0,0.01,0.66,12.1471
0.0,348.35,0.0,0.0,0.93,13.4102
0.0,423.03,0.0,0.01,0.89,14.2465
0.0,411.49,0.0,0.01,1.48,19.4501
0.0,403.33,0.0,0.01,4.46,28.3357
0.0,416.79,0.0,0.01,11.07,22.8117
0.0,433.81,0.0,0.01,8.99,22.3122
0.0,460.77,0.0,0.01,11.28,22.7538
0.0,639.79,0.0,0.01,14.34,27.8993
0.0,661.77,0.0,0.01,11.87,26.1284
0.0,580.39,0.0,0.01,11.12,23.3366
0.0,605.17,0.0,0.01,12.44,23.2755
0.0,642.18,0.0,0.01,12.11,22.4538
0.0,725.47,0.0,0.01,10.02,22.2043
0.0,823.94,0.0,0.01,7.84,22.0628
0.0,913.56,0.0,0.01,10.15,21.3669
0.0,1058.02,0.0,0.01,12.27,20.7545
0.0,1131.08,0.0,0.01,34.24,23.6324
0.0,1202.24,0.0,0.04,49.84,47.4334
0.0,1885.49,0.0,0.22,123.69,176.119
0.0,2629.26,0.0,0.29,311.11,315.9441
0.0,2514.55,0.0,0.2,225.15,201.3216
0.0,3843.35,0.0,0.19,298.94,181.9568
0.0,4065.66,0.0,0.2,293.48,133.3366
0.0,5319.5,0.03,0.23,306.02,106.6888
0.0,7765.5,0.03,0.23,356.27,146.4675
0.0,15179.18,0.31,0.78,633.55,517.3938
0.0,13096.25,0.75,1.89,1096.37,960.3503
0.0,9449.41,0.38,0.98,874.8,574.5497
0.0,9078.51,0.21,0.74,631.73,393.5833
0.0,7998.43,0.23,0.68,516.65,425.8699
0.0,8469.65,0.27,0.72,679.12,433.5
0.0,6805.9,0.17,0.56,521.71,305.3308
0.0,7122.22,0.15,0.46,463.7,295.5918
0.0,6713.5,0.11,0.35,324.29,258.714
0.0,6615.92,0.08,0.38,227.94,581.7183
0.0,6493.26,0.08,0.47,210.56,487.0005
0.0,5435.73,0.06,0.46,170.26,287.5733
0.0,3726.96,0.04,0.34,108.9,231.6
0.0,3705.7,0.04,0.33,128.64,215.3973
0.0,3705.38,0.04,0.31,126.74,196.1022
0.0,3972.64,0.05,0.31,137.28,203.5128
0.0,5162.09,0.08,0.33,165.37,286.469
0.0,7257.18,0.08,0.36,218.6,288.6858
0.0,9379.12,0.09,0.43,274.27,321.0578
0.0,10669.29,0.07,0.34,249.07,315.5418
0.0,10637.17,0.05,0.29,200.3,277.3765
0.0,9823.23,0.05,0.26,185.68,246.6187
0.0,8405.32,0.04,0.28,179.24,252.1987
0.0,8397.2,0.04,0.26,174.06,256.1041
0.0,7291.69,0.04,0.21,138.35,214.8113
0.0,8350.38,0.04,0.22,155.96,233.4279
0.0,9637.88,0.06,0.27,237.68,269.7234
0.0,6904.26,0.03,0.18,161.78,195.643
0.68,7193.21,0.04,0.19,170.85,204.3675
0.61,9250.24,0.05,0.21,207.64,252.3081
0.66,9484.57,0.08,0.19,236.03,249.0423
1.07,9554.06,0.12,0.2,257.46,317.481
3.01,11643.16,0.13,0.29,400.39,343.8917
3.16,10666.22,0.1,0.25,368.9,278.652
2.16,11836.3,0.1,0.25,375.72,262.4577
1.97,16526.48,0.12,0.36,481.58,299.1203
1.64,21811.93,0.16,0.48,619.61,379.5987
3.22,34581.71,0.31,0.28,1189.16,1243.1162
9.46,46022.39,0.84,0.49,1692.56,5580.9197
14.76,54689.45,1.17,0.49,1726.05,5483.216
30.94,57154.9,1.25,1.22,2278.52,18475.562
40.03,46689.67,1.64,1.28,3130.12,43890.8684
35.58,35809.1,1.48,0.81,2337.91,30440.38
33.92,34247.19,1.4,0.67,2212.86,24316.6727
